temaNumero,situacaoTema,ramoDireito,questaoSubmetidaJulgamento,teseFirmada,numeroProcesso,dataDecisaoAfetacao,relator,dataJulgamento,dataPublicacaoAcordao,transitoJulgado,pdfPath
11,Julgado,DIREITO PREVIDENCIÁRIO,Saber se é necessário início de prova material no período de carência em salário-maternidade de segurada especial.,A exigência de início de prova material contemporânea para concessão do salário-maternidade à segurada especial pode ser flexibilizada. Vide Tema 17.,PEDILEF 2009.32.00.704394-5/ AM,11/10/2011,Juiz Federal Paulo Ricardo Arena Filho,11/10/2011,28/10/2011,18/11/2011,https://www2.jf.jus.br/phpdoc/virtus/mostra_inteiro_teor.php?num=200932007043945111011
12,Revisado - Tema 216/TNU,DIREITO PREVIDENCIÁRIO,Saber se pagamento de remuneração indireta a aluno aprendiz autoriza respectiva contagem de tempo de serviço para fins previdenciários.,"Para fins previdenciários, o cômputo do tempo de serviço prestado como aluno-aprendiz exige a comprovação de que, durante o período de aprendizado, houve simultaneamente: (i) retribuição consubstanciada em prestação pecuniária ou em auxílios materiais; (ii) à conta do Orçamento; (iii) a título de contraprestação por labor; (iv) na execução de bens e serviços destinados a terceiros. (Tese firmada no Tema 216/TNU). Vide Súmula 18 da TNU.",Processo,Decisão de afetação,Relator (a),Julgado em,Acórdão publicado em,Trânsito em julgado,
13,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se o pedido de revisão de benefício de aposentadoria por tempo de contribuição para fins de reconhecimento de tempo especial por categoria profissional depende de prévio requerimento administrativo quando o INSS, apesar de ciente dos elementos necessários, não se pronunciou sobre a especialidade de período anterior à Lei n. 9.032/95.",É dispensável prévio requerimento administrativo de revisão de aposentadoria por tempo de contribuição quando houver omissão da autarquia na análise do tempo especial anterior à Lei n. 9.032/95.,PEDILEF 2009.72.51.000312-4/ SC,15/04/2010,Juíza Federal Simone dos Santos Lemos Fernandes,11/10/2011,28/10/2011,18/11/2011,https://www.cjf.jus.br/phpdoc/virtus/
14,Julgado,DIREITO PREVIDENCIÁRIO,Saber se laudo pericial extemporâneo afasta força probatória das condições especiais de trabalho.,"Na aposentadoria especial a apresentação de laudo pericial extemporâneo não afasta sua força probante, desde que não modificadas as condições do ambiente. Vide Súmula 68 da TNU.",PEDILEF 2008.72.59.003073-0/ SC,14/04/2010,Juíza Federal Vanessa Vieira de Mello,11/10/2011,28/10/2011,18/11/2011,https://www.cjf.jus.br/phpdoc/virtus/
15,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se pode haver rateio de pensão entre esposa e concubina, no regime de concubinato impuro.","A pensão por morte não deve ser rateada entre a viúva e a concubina, pois a relação extraconjugal paralela ao casamento não configura união estável. Tese no mesmo sentido da firmada no Tema 526/STF.",PEDILEF 2008.72.95.001366-8/ SC,01/12/2009,Juíza Federal Simone dos Santos Lemos Fernandes,11/10/2011,28/10/2011,18/11/2011,https://www.cjf.jus.br/phpdoc/virtus/
16,Julgado,DIREITO ADMINISTRATIVO,Saber qual o termo inicial da progressão funcional de policial federal.,A eficácia da progressão funcional deve ser observada segundo a situação individual de cada servidor e seus efeitos retroagem ao momento em que os requisitos legais foram implementados. Vide Tema 82 e PEDILEF n. 500367784.2014.404.7101. Entendimento revisado pelo PEDILEF n. 05207128420124058300 (orientação alinhada ao STJ: RESP 1.649.269/RJ).,PEDILEF 0501999-48.2009.4.05.8500/ SE,12/09/2011,Juiz Federal Rogério Moreira Alves,11/10/2011,28/10/2011,26/03/2015 - no STF,https://www.cjf.jus.br/phpdoc/virtus/
17,Julgado,DIREITO PREVIDENCIÁRIO,Saber se é necessário início de prova material no período de carência em salário-maternidade de segurada especial.,A exigência de início de prova material para concessão do salário-maternidade à segurada especial pode ser flexibilizada. Vide Tema 11.,PEDILEF 2009.32.00.704394-5/ AM,14/03/2011,Juiz Federal Paulo Ricardo Arena Filho,11/10/2011,28/10/2011,18/11/2011,https://www.cjf.jus.br/phpdoc/virtus/
18,Julgado (Súmulas 5 e 14 da TNU),DIREITO PREVIDENCIÁRIO,"Saber se documentos em nome de terceiros integrantes do grupo familiar, relativos à propriedade da terra trabalhada, servem como início de prova material da atividade rural.","A certidão do INCRA ou outro documento que comprove propriedade de imóvel em nome de integrantes do grupo familiar do segurado é razoável início de prova material da condição de segurado especial para fins de aposentadoria rural por idade, inclusive dos períodos trabalhados a partir dos 12 anos de idade, antes da publicação da Lei n. 8.213/91. Desnecessidade de comprovação de todo o período de carência.",PEDILEF 2009.71.95.000509-1/ RS,23/03/2011,Juíza Federal Simone dos Santos Lemos Fernandes,11/10/2011,28/10/2011,18/11/2011,https://www.cjf.jus.br/phpdoc/virtus/
19,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se a mera ausência de vínculo na CTPS é prova suficiente do desemprego involuntário e, em caso negativo, se são possíveis outros meios de prova diversos do registro em órgão do Ministério do Trabalho.","É possível comprovar a condição de desemprego involuntário por outros meios de prova diversos do registro no Ministério do Trabalho, não sendo a ausência de vínculo na CTPS suficiente para tanto. Vide Súmula 27 da TNU.",Processo,Decisão de afetação,Relator (a),Julgado em,Acórdão publicado em,Trânsito em julgado,
20,Julgado,DIREITO ADMINISTRATIVO,"Saber se há renúncia tácita da prescrição com o reconhecimento, pela Administração Pública, do direito ao adicional por tempo de serviço.","O reconhecimento, pela Administração Pública, do direito ao adicional por tempo de serviço - MP 1.962-25/2000, demonstrou renúncia tácita da prescrição, que volta a fluir na integralidade dos cinco anos, cujo termo a quo é a última edição da MP que se deu sob o n. 2.169-43, em 24/08/2001. Vide Tema 76 da TNU.",PEDILEF 2006.71.50.004837-5/ RS,11/10/2011,Juiz Federal Vladimir Santos Vitovsky,11/10/2011,18/11/2011,08/03/2012,https://www.cjf.jus.br/phpdoc/virtus/
