decisionId,classe,tipoJulgamento,assuntos,competencia,relatorOriginario,dataAutuacao,dataJulgamento,numeroProcesso,inteiroTeorPath
TRF2-LIVE-11,Apelação Cível,COLEGIADO,"PROCESSUAL CIVIL E PREVIDENCIÁRIO . DESCONTOS EM BENEFÍCIO PREVIDENCIÁRIO . COISA JULGADA/LITISPENDÊNCIA. RESTITUIÇÃO DE VALORES. EXTINÇÃO PARCIAL DO FEITO. DANOS MORAIS E MATERIAIS. AUSÊNCIA DE ILICITUDE. SENTENÇA MANTIDA. 1) Trata-se de apelação interposta contra sentença que extinguiu parcialmente o feito, sem resolução do mérito, quanto ao pedido de restituição de valores descontados pelo INSS, por reconhecimento",6ª TURMA ESPECIALIZADA,ALFREDO JARA MOURA,,02/06/2026,5036760-28.2022.4.02.5001,https://eproc.trf2.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50367602820224025001
TRF2-LIVE-12,Apelação Cível,COLEGIADO,"DIREITO CIVIL E ADMINISTRATIVO. APELAÇÃO CÍVEL. REINTEGRAÇÃO DE POSSE. CONTRATO VERBAL COM A ADMINISTRAÇÃO PÚBLICA. RECURSO DESPROVIDO. I. CASO EM EXAME Trata-se de recurso de apelação interposto contra sentença que julgou improcedente o pedido de reintegração de posse de 36 cilindros de gás, ou sua conversão em perdas e danos, em razão de relação comercial mantida com a Administração Pública entre 2001 e 2010. II. Q",6ª TURMA ESPECIALIZADA,GUILHERME CALMON NOGUEIRA DA GAMA,,02/06/2026,5070404-45.2025.4.02.5101,https://eproc.trf2.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50704044520254025101
TRF2-LIVE-13,Agravo de Instrumento,COLEGIADO,PROCESSUAL CIVIL. TRIBUTÁRIO. AGRAVO DE INSTRUMENTO. EXCEÇÃO DE PRÉ-EXECUTIVIDADE. EXECUÇÃO FISCAL. GRATUIDADE DE JUSTIÇA. PESSOA JURÍDICA. SÚMULA 481 DO STJ. AUSÊNCIA DE COMPROVAÇÃO DA HIPOSSUFICIÊNCIA FINANCEIRA. NOMEAÇÃO BENS MÓVEIS. RECUSA. POSSIBILIDADE. CDA. LEGITIMIDADE DA COBRANÇA DO ENCARGO DE 20% (VINTE POR CENTO) PREVISTO NO DL Nº 1.025/1969. CRÉDITO NÃO TRIBUTÁRIO DIRIGIDO À COBERTURA DAS DESPESAS RELACIO,3ª TURMA ESPECIALIZADA,,,20/05/2026,5001341-70.2026.4.02.0000,https://eproc.trf2.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50013417020264020000
TRF2-LIVE-14,Apelação Cível,COLEGIADO,"DIREITO PÚBLICO E CONSELHOS PROFISSIONAIS. EXECUÇÃO FISCAL. PRESCRIÇÃO INTERCORRENTE. RECURSO DE APELAÇÃO DESPROVIDO. I. CASO EM EXAME 1. Apelação cível interposta por autarquia contra sentença que extinguiu execução fiscal pelo reconhecimento da prescrição intercorrente, após o transcurso de mais de seis anos sem a localização de bens penhoráveis. II. QUESTÃO EM DISCUSSÃO 2. A questão em discussão consiste em saber ",6ª TURMA ESPECIALIZADA,GUILHERME CALMON NOGUEIRA DA GAMA,,03/06/2026,0192623-29.2017.4.02.5101,https://eproc.trf2.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=01926232920174025101
TRF2-LIVE-15,Apelação Cível,COLEGIADO,"PREVIDENCIÁRIO E PROCESSUAL CIVIL. APELAÇÃO CÍVEL. AUXÍLIO POR INCAPACIDADE TEMPORÁRIA. PERÍCIA POR MÉDICO NÃO ESPECIALISTA. CERCEAMENTO DE DEFESA. SENTENÇA ANULADA. I. Caso em exame Apelação cível interposta em face de sentença que julgou improcedente o pedido de restabelecimento de auxílio por incapacidade temporária e indenização por danos morais, após laudo pericial realizado por médico psiquiatra não constatar i",2ª TURMA ESPECIALIZADA,ROBERTO DANTES SCHUMAN DE PAULA,,27/05/2026,5006714-10.2023.4.02.5005,https://eproc.trf2.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50067141020234025005
TRF2-LIVE-16,Agravo de Instrumento,COLEGIADO,"DIREITO PROCESSUAL CIVIL. AGRAVO DE INSTRUMENTO. EXECUÇÃO. CNIB. UTILIZAÇÃO SUBSIDIÁRIA. ESGOTAMENTO DE DILIGÊNCIAS. IMPROVIMENTO. I. CASO EM EXAME 1. Trata-se de agravo de instrumento interposto pela CAIXA ECONÔMICA FEDERAL - CEF contra decisão proferida em execução de título extrajudicial, na qual foi indeferido o requerimento de inscrição do devedor no CNIB. II. QUESTÃO EM DISCUSSÃO 2. Quando e de que forma pode s",6ª TURMA ESPECIALIZADA,GUILHERME CALMON NOGUEIRA DA GAMA,,03/06/2026,5004481-15.2026.4.02.0000,https://eproc.trf2.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50044811520264020000
TRF2-LIVE-17,Apelação Cível,COLEGIADO,DIREITO PREVIDENCIÁRIO. APELAÇÃO CÍVEL. APOSENTADORIA RURAL POR IDADE. SEGURADA ESPECIAL. REGIME DE ECONOMIA FAMILIAR. EXERCÍCIO DE ATIVIDADE URBANA POR CÔNJUGE. DIMENSÃO DA PROPRIEDADE. INÍCIO DE PROVA MATERIAL CORROBORADO POR PROVA TESTEMUNHAL. COISA JULGADA AFASTADA. CONSECTÁRIOS LEGAIS. RECURSO PARCIALMENTE PROVIDO. I. CASO EM EXAME 1. Apelação cível interposta pelo INSS contra sentença que julgou procedente o pe,1ª TURMA ESPECIALIZADA,JULIO DE CASTILHOS,,09/04/2026,5000693-03.2025.4.02.9999,https://eproc.trf2.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50006930320254029999
TRF2-LIVE-18,Apelação Cível,COLEGIADO,"PREVIDENCIÁRIO. APELAÇÃO DO INSS. APOSENTADORIA POR IDADE RURAL. COMPROVAÇÃO DO LABOR RURAL POR INÍCIO DE PROVA MATERIAL CORROBORADO POR PROVA TESTEMUNHAL PRODUZIDA EM JUÍZO. CONSECTÁRIOS LEGAIS, NA FORMA DO MANUAL DE CÁLCULOS DA JUSTIÇA FEDERAL. HONORÁRIOS ADVOCATÍCIOS. CPC/2015. CUSTAS E TAXA JUDICIÁRIA. RECURSO DO INSS A QUE SE NEGA PROVIMENTO. I. CASO EM EXAME 1. A hipótese dos autos é de recurso contra sentença ",2ª TURMA ESPECIALIZADA,ALFREDO JARA MOURA,,15/09/2025,5000669-43.2023.4.02.9999,https://eproc.trf2.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50006694320234029999
TRF2-LIVE-19,Apelação Cível,COLEGIADO,DIREITO PREVIDENCIÁRIO. EMBARGOS DE DECLARAÇÃO. RECONHECIMENTO DE TEMPO ESPECIAL. RUÍDO. APOSENTADORIA POR TEMPO DE CONTRIBUIÇÃO. EMBARGOS PROVIDOS COM EFEITOS INFRINGENTES. PROVIMENTO PARCIAL DA APELAÇÃO. I. CASO EM EXAME: 1. Embargos de declaração opostos pelo Instituto Nacional do Seguro Social (INSS) contra acórdão que reconheceu e averbou diversos períodos como tempo especial e concedeu aposentadoria especial. O,2ª TURMA ESPECIALIZADA,ALFREDO HILARIO DE SOUZA,,25/05/2026,5008033-41.2022.4.02.5104,https://eproc.trf2.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50080334120224025104
TRF2-LIVE-20,Apelação Cível,COLEGIADO,"DIREITO PREVIDENCIÁRIO . APELAÇÃO CÍVEL. APOSENTADORIA POR IDADE RURAL. CERCEAMENTO DE DEFESA. NULIDADE DA SENTENÇA. RECURSO PREJUDICADO. I. CASO EM EXAME: 1. Apelação cível interposta pela autora contra sentença que julgou improcedente o pedido de concessão de aposentadoria por idade rural, sob o fundamento de insuficiência de prova do labor rural no período remoto (1984 a 2013), sem a realização de prova testemunha",2ª TURMA ESPECIALIZADA,FLAVIO OLIVEIRA LUCAS RELATOR PARA ACÓRDÃO ALFREDO HILARIO DE SOUZA,,27/05/2026,5000172-24.2026.4.02.9999,https://eproc.trf2.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50001722420264029999
