temaNumero,situacaoTema,ramoDireito,questaoSubmetidaJulgamento,teseFirmada,numeroProcesso,dataDecisaoAfetacao,relator,dataJulgamento,dataPublicacaoAcordao,transitoJulgado,pdfPath
18,Julgado (Súmulas 5 e 14 da TNU),DIREITO PREVIDENCIÁRIO,"Saber se documentos em nome de terceiros integrantes do grupo familiar, relativos à propriedade da terra trabalhada, servem como início de prova material da atividade rural.","A certidão do INCRA ou outro documento que comprove propriedade de imóvel em nome de integrantes do grupo familiar do segurado é razoável início de prova material da condição de segurado especial para fins de aposentadoria rural por idade, inclusive dos períodos trabalhados a partir dos 12 anos de idade, antes da publicação da Lei n. 8.213/91. Desnecessidade de comprovação de todo o período de carência.",PEDILEF 2009.71.95.000509-1/ RS,23/03/2011,Juíza Federal Simone dos Santos Lemos Fernandes,11/10/2011,28/10/2011,18/11/2011,outputs\runs\run-20260613T190754327470Z\data\themes\tema-18.pdf
19,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se a mera ausência de vínculo na CTPS é prova suficiente do desemprego involuntário e, em caso negativo, se são possíveis outros meios de prova diversos do registro em órgão do Ministério do Trabalho.","É possível comprovar a condição de desemprego involuntário por outros meios de prova diversos do registro no Ministério do Trabalho, não sendo a ausência de vínculo na CTPS suficiente para tanto. Vide Súmula 27 da TNU.",Processo,Decisão de afetação,Relator (a),Julgado em,Acórdão publicado em,Trânsito em julgado,outputs\runs\run-20260613T190754327470Z\data\themes\tema-19.pdf
20,Julgado,DIREITO ADMINISTRATIVO,"Saber se há renúncia tácita da prescrição com o reconhecimento, pela Administração Pública, do direito ao adicional por tempo de serviço.","O reconhecimento, pela Administração Pública, do direito ao adicional por tempo de serviço - MP 1.962-25/2000, demonstrou renúncia tácita da prescrição, que volta a fluir na integralidade dos cinco anos, cujo termo a quo é a última edição da MP que se deu sob o n. 2.169-43, em 24/08/2001. Vide Tema 76 da TNU.",PEDILEF 2006.71.50.004837-5/ RS,11/10/2011,Juiz Federal Vladimir Santos Vitovsky,11/10/2011,18/11/2011,08/03/2012,outputs\runs\run-20260613T190754327470Z\data\themes\tema-20.pdf
21,Julgado,DIREITO PREVIDENCIÁRIO,Saber se para obtenção da aposentadoria por idade de segurado especial é necessário demonstrar atividade rural no período imediatamente anterior ao atingimento da idade mínima ou à apresentação do requerimento administrativo.,"Para a obtenção de aposentadoria por idade do segurado especial, é indispensável o exercício e a demonstração da atividade rural correspondente à carência no período imediatamente anterior ao implemento da idade mínima ou à data do requerimento administrativo. Vide Tema 145 da TNU.",PEDILEF 2006.71.95.008818-9/ RS,14/03/2011,Juíza Federal Simone dos Santos Lemos Fernandes,11/10/2011,18/11/2011,06/12/2011,outputs\runs\run-20260613T190754327470Z\data\themes\tema-21.pdf
22,Revisado pelo Tema 158,DIREITO ADMINISTRATIVO,Saber qual o termo final do reconhecimento da especialidade da atividade de magistério.,Não é possível a conversão de período laborado na atividade de professor em tempo comum após a Emenda Constitucional 18/81 (TESE FIRMADA NO TEMA 158).,PEDILEF 2006.70.54.000056-9/ PR,27/11/2008,Juiz Federal José Eduardo do Nascimento,06/09/2011,25/05/2012 18/11/2011,11/11/2014,outputs\runs\run-20260613T190754327470Z\data\themes\tema-22.pdf
23,Julgado,DIREITO PREVIDENCIÁRIO,Saber se o trabalho urbano do marido ou se percepção posterior de pensão alimentícia descaracteriza condição de segurada especial em regime de economia familiar.,"A condição de segurada especial em regime de economia familiar não é descaracterizada pelo trabalho urbano do marido da autora ou mesmo pela paga, posterior, de pensão alimentícia, em razão de separação.",PEDILEF 2008.72.50.003366-8/ SC,13/11/2009,Juiz Federal Paulo Ricardo Arena Filho,11/10/2011,18/11/2011,06/12/2011,outputs\runs\run-20260613T190754327470Z\data\themes\tema-23.pdf
24,Julgado,DIREITO PROCESSUAL CIVIL,Saber se o ajuizamento da ação nos Juizados Especiais Federais implica em automática renúncia para fins de fixação de competência.,Nos Juizados Especiais Federais inexiste renúncia tácita para fins de fixação de competência. Vide Súmula 17 da TNU.,PEDILEF 2007.33.00.707664-3/ BA,08/02/2011,Juiz Federal Alcides Saldanha Lima,11/10/2011,25/11/2011,19/06/2012,outputs\runs\run-20260613T190754327470Z\data\themes\tema-24.pdf
25,Julgado,DIREITO PREVIDENCIÁRIO,Saber qual a tábua de mortalidade elaborada pelo IBGE a ser utilizada no cálculo do fator previdenciário.,"Para o cálculo do fator previdenciário deve ser observada a tábua de mortalidade elaborada pelo IBGE vigente na data do requerimento do benefício previdenciário, e não aquela utilizada anteriormente, quando preenchidos os requisitos necessários à concessão da aposentadoria.",PEDILEF 2005.82.00.505195-9/ PB,11/10/2011,Juiz Federal Ronivon de Aragão,11/10/2011,25/11/2011,13/12/2011,outputs\runs\run-20260613T190754327470Z\data\themes\tema-25.pdf
26,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se é possível regularizar contribuições previdenciárias em atraso, após a morte de segurado contribuinte individual exercente de atividade informal.","Descabida a pretensão de regularização ""post mortem"" do recolhimento das contribuições previdenciárias devidas pelo segurado contribuinte individual exercente de atividade informal, salvo quando devam ser arrecadadas por empresa tomadora de serviços. Vide Súmula 52 da TNU.",PEDILEF 2005.63.02.013290-9/ SP,25/04/2011,Juíza Federal Simone dos Santos Lemos Fernandes,24/11/2011,09/12/2011,16/01/2012,outputs\runs\run-20260613T190754327470Z\data\themes\tema-26.pdf
27,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se é possível aplicar tabela progressiva prevista no art. 142 da Lei n. 8.213/91, aos casos de aposentadoria por idade urbana.","Aplica-se a tabela progressiva prevista no art. 142 da Lei n. 8.213/91, no caso de aposentadoria por idade urbana, considerando-se como marco temporal para apuração da carência o ano em que o segurado completa a idade mínima, ainda que contadas contribuições posteriores ao ano do cumprimento do requisito etário. Vide Súmula 44 da TNU.",PEDILEF 0022551-92.2008.4.01.3600/ MT,14/03/2011,Juiz Federal Rogério Moreira Alves,24/11/2011,09/12/2011,17/01/2012,outputs\runs\run-20260613T190754327470Z\data\themes\tema-27.pdf
28,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se é possível aplicar orientação firmada pelo STF, no RE 597389/ SP, aos casos onde já há coisa julgada.","Não se aplica orientação firmada no RE 597389/ SP, no cálculo dos benefícios concedidos antes da Lei n. 9.032/95, cujas sentenças transitaram em julgado quando do pronunciamento do STF. Vide Tema 90.",PEDILEF 2007.72.95.008821-4/ SC,09/07/2009,Juíza Federal Vanessa Vieira de Mello,24/11/2011,19/12/2011,05/06/2012,outputs\runs\run-20260613T190754327470Z\data\themes\tema-28.pdf
29,Julgado,DIREITO PREVIDENCIÁRIO,Saber se o atraso no recolhimento das contribuições previdenciárias a cargo do empregador prejudica a contagem do período de carência e a manutenção da qualidade de segurada empregada doméstica.,O recolhimento tardio de contribuições a cargo do empregador não implica prejuízo de ordem previdenciária à segurada empregada doméstica.,PEDILEF 2008.70.50.01.8498-8/ PR,24/11/2011,Juíza Federal Vanessa Vieira de Mello,24/11/2011,19/12/2011,24/01/2012,outputs\runs\run-20260613T190754327470Z\data\themes\tema-29.pdf
30,Revisado - Tema 123/TNU,DIREITO PREVIDENCIÁRIO,Saber os valores percebidos a título de antecipação dos efeitos da tutela devem ser devolvidos em caso de julgamento de mérito desfavorável.,"""Os valores recebidos de boa-fé por força de antecipação de tutela, em se tratando de decisão de primeiro grau reformada em segundo grau, devem ser devolvidos, nos termos do entendimento firmado pelo Superior Tribunal de Justiça (Tema/Repetitivo 692 e PET 10.996/SC)"". (Tese - Tema 692/STJ: A reforma da decisão que antecipa os efeitos da tutela final obriga o autor da ação a devolver os valores dos benefícios previdenciários ou assistenciais recebidos, o que pode ser feito por meio de desconto em valor que não exceda 30% (trinta por cento) da importância de eventual benefício que ainda lhe estiver sendo pago.)",Processo,Decisão de afetação,Relator (a),Julgado em,Acórdão publicado em,Trânsito em julgado,outputs\runs\run-20260613T190754327470Z\data\themes\tema-30.pdf
31,Revisado - Tema 896/STJ,DIREITO PREVIDENCIÁRIO,"Saber qual o momento em que deve ser aferida a renda do segurado desempregado recolhido à prisão, para fins de percepção do benefício de auxílio-reclusão.",Vide Tema 896/STJ.,Repetitivo STJ/ Repercussão geral,"Tese firmada no Tema 896/STJ (Revisado): Para a concessão de auxílio-reclusão (art. 80 da Lei 8.213/1991) no regime anterior à vigência da MP 871/2019, o critério de aferição de renda do segurado que não exerce atividade laboral remunerada no momento do recolhimento à prisão é a ausência de renda, e não o último salário de contribuição. Observação: O STF, por meio do tema 1017, afirmou que a matéria é de cunho infraconstitucional, razão pela qual é aplicável a tese firmada no âmbito do repetitivo 896/STJ.",,,,,outputs\runs\run-20260613T190754327470Z\data\themes\tema-31.pdf
32,Julgado,DIREITO PREVIDENCIÁRIO,Saber se certidão de óbito pode servir como início de prova material de benefício de pensão por morte de segurado especial.,"Certidão de óbito configura início de prova material para caracterização da atividade rural, para fins de pensão por morte.",PEDILEF 2007.83.04.501228-9/PE,31/10/2008,Juíza Federal Vanessa Vieira de Mello,24/11/2011,19/12/2011,24/01/2012,outputs\runs\run-20260613T190754327470Z\data\themes\tema-32.pdf
33,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se se presumem habitualidade e permanência da exposição ao agente nocivo ruído, em caso de segurado contribuinte individual sócio-gerente.","A habitualidade e permanência da exposição ao agente nocivo ruído, devidamente comprovadas por laudo pericial, presumem-se no caso de segurado contribuinte individual empresário.",PEDILEF 2009.71.95.001907-7/RS,01/09/2011,Juiz Federal Adel Américo Dias de Oliveira,29/02/2012,09/03/2012,15/08/2012,outputs\runs\run-20260613T190754327470Z\data\themes\tema-33.pdf
34,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se há necessidade de exame das condições pessoais do requerente, para concessão de benefício assistencial, quando houver incapacidade parcial e temporária.","Para a concessão do benefício previsto no art. 203, V, da Constituição Federal, nos casos de incapacidade parcial e temporária, deve-se examinar as condições pessoais do requerente.",PEDILEF 0013826-53.2008.4.01.3200/AM,14/12/2011,Juiz Federal Antonio Fernando Schenkel do Amaral e Silva,29/02/2012,09/03/2012,21/08/2012,outputs\runs\run-20260613T190754327470Z\data\themes\tema-34.pdf
35,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se em caso de contagem recíproca de tempo de contribuição, nos casos de regimes próprios de previdência dos servidores públicos, deve haver indenização de contribuições previdenciárias em caso de averbação de tempo rural.","A averbação de tempo de trabalho rural nos regimes próprios de previdência dos servidores públicos exige a indenização das respectivas contribuições previdenciárias, para efeitos de contagem recíproca de tempo de contribuição.",PEDILEF 2006.63.02.012610-0/SP,25/10/2011,Juiz Federal Rogério Moreira Alves,29/02/2012,20/04/2012,08/05/2012,outputs\runs\run-20260613T190754327470Z\data\themes\tema-35.pdf
36,Julgado (Súmula 77 da TNU),DIREITO PREVIDENCIÁRIO,"Saber se é necessário exame das condições pessoais do segurado considerado capaz para o trabalho, nos pedidos de concessão de auxílio-doença.",Na concessão do auxílio-doença é dispensável o exame das condições pessoais do segurado quando não constatada a incapacidade laboral. Vide Súmula 77 da TNU.,PEDILEF 0052862-57.2008.4.03.6301/SP,07/08/2013,Juiz Federal Rogério Moreira Alves,07/08/2013,16/08/2013,02/12/2013,outputs\runs\run-20260613T190754327470Z\data\themes\tema-36.pdf
37,Julgado (Súmula 46 da TNU),DIREITO PREVIDENCIÁRIO,Saber se o exercício de atividade urbana intercalada desnatura qualidade de segurado em caso de pedido de concessão de aposentadoria rural por idade.,Não afasta o direito à aposentadoria por idade rural o exercício de atividade urbana intercalada ou breves períodos descontínuos de atividade rural. Vide Súmula 46 da TNU.,PEDILEF 0500000-29.2005.4.05.8103/CE,17/06/2011,Juiz Federal Rogério Moreira Alves,29/02/2012,30/03/2012,17/04/2012,outputs\runs\run-20260613T190754327470Z\data\themes\tema-37.pdf
38,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se incapacidade laboral, anterior ao retorno do segurado ao RGPS, inviabiliza concessão de benefícios por incapacidade.","A incapacidade laboral preeexistente veda a concessão de auxílio-doença e aposentadoria por invalidez, mesmo nos casos de reingresso no RGPS. Vide Súmula 53 da TNU.",PEDILEF 2009.33.00.705098-0/ BA,29/03/2012,Juiz Federal Rogério Moreira Alves,29/03/2012,13/04/2012,01/10/2012,outputs\runs\run-20260613T190754327470Z\data\themes\tema-38.pdf
39,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se o trabalhador que preencheu requisito de carência do benefício de aposentadoria por idade, e que na data do óbito, não mais detinha qualidade de segurado e tampouco havia implementado idade mínima, pode ser instituidor de benefício de pensão por morte.","Para a concessão de pensão por morte de rurícola é necessário que o instituidor tenha, na data do óbito, a qualidade de segurado ou tenha implementado, antes de falecer, todos os requisitos para a concessão de aposentadoria por idade rural, tanto a carência quanto a idade mínima.",PEDILEF 0506910-51.2005.4.05.8013/ AL,29/03/2012,Juiz Federal Vladimir Santos Vitovsky,29/03/2012,20/04/2012,08/05/2012,outputs\runs\run-20260613T190754327470Z\data\themes\tema-39.pdf
40,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se incapacidade laboral, anterior ao retorno do segurado ao RGPS, inviabiliza concessão de benefícios por incapacidade.","A incapacidade laboral preeexistente veda a concessão de auxílio-doença e aposentadoria por invalidez, mesmo nos casos de reingresso no RGPS. Vide Súmula 53 da TNU.",PEDILEF 0010516-35.2006.4.03.6310/ SP,29/02/2012,Juíza Federal Simone Lemos Fernandes,29/03/2012,20/04/2012,08/05/2012,outputs\runs\run-20260613T190754327470Z\data\themes\tema-40.pdf
41,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se o fator 1,4 (um vírgula quatro) pode ser aplicado aos homens no período anterior ao advento da Lei n. 8.213/91.","Na aposentadoria por tempo de contribuição, o fator de conversão 1,4 (um vírgula quatro), para os homens, é aplicável em qualquer período.",PEDILEF 2007.72.95.003208-7/ SC,29/03/2012,Juíza Federal Vanessa Vieira de Mello,29/03/2012,27/04/2012,15/05/2012,outputs\runs\run-20260613T190754327470Z\data\themes\tema-41.pdf
42,Julgado,DIREITO CIVIL,Saber qual o prazo prescricional aplicável às ações nas quais se busca pagamento de juros progressivos e respectiva forma de contagem.,A ação para cobrança de juros progressivos sujeita-se à prescrição trintenal cujo início se dá a cada mês no dia em que era obrigação da CEF creditá-los em conta vinculada. Vide Súmula 56 da TNU.,PEDILEF 2005.63.03.017154-7/ SP,29/03/2012,Juiz Federal Antônio Fernando Schenkel do Amaral e Silva,29/03/2012,04/05/2012,23/05/2012,outputs\runs\run-20260613T190754327470Z\data\themes\tema-42.pdf
43,Revisado - Tema 140/TNU,DIREITO ADMINISTRATIVO,Saber se os membros da Advocacia-Geral da União têm direito à ajuda de custo nos casos de remoção a pedido.,"Os membros da Advocacia-Geral da União - Advogados da União, Procuradores da Fazenda Nacional e Procuradores Federais - por não terem a garantia da inamovibilidade, não têm direito ao pagamento de ajuda de custo nos casos de remoção a pedido. - Tese firmada no Tema 140/TNU.",Processo,Decisão de afetação,Relator (a),Julgado em,Acórdão publicado em,Trânsito em julgado,outputs\runs\run-20260613T190754327470Z\data\themes\tema-43.pdf
44,Julgado,DIREITO ADMINISTRATIVO,"Saber qual a natureza jurídica da Gratificação de Estímulo à Docência no Magistério Superior (GED) após a MP n. 208/2004 - se parcela remuneratória geral ou ""pro labore faciendo"" - para fins de equiparação da pontuação dos servidores ativos aos inativos.","""A Lei 11.087/05, resultante da conversão da Medida Provisória 208/2004, não modificou a natureza pro labore faciendo da GED, porquanto trouxe apenas alteração nos pontos a serem atribuídos a ativos e inativos, preservando-se a diferenciação estabelecida na Lei 9.784/1998, inclusive quanto aos servidores docentes cedidos."" (PET 9600/STJ) Obs: O referido entendimento foi aplicado também à PET 9645/STJ, oriunda deste representativo.",PEDILEF 0021992-38.2008.4.01.3600/ MT,26/09/2012,Juíza Federal Simone Lemos Fernandes,25/04/2012,25/05/2012,10/03/2017,outputs\runs\run-20260613T190754327470Z\data\themes\tema-44.pdf
45,Julgado,DIREITO PREVIDENCIÁRIO,Saber se o ex-cônjuge que não percebe alimentos tem direito à pensão por morte.,"É devida pensão por morte ao ex-cônjuge que não percebe alimentos, desde que comprovada dependência econômica superveniente à separação, demonstrada em momento anterior ao óbito.",PEDILEF 2006.84.00.509436-0/ RN,11/03/2010,Juíza Federal Simone Lemos Fernandes,25/04/2012,25/05/2012,02/08/2013,outputs\runs\run-20260613T190754327470Z\data\themes\tema-45.pdf
46,Julgado,DIREITO ADMINISTRATIVO,Saber se é taxativo o rol de hipóteses de levantamento de valores de FGTS.,"O rol de hipóteses de levantamento dos valores de FGTS é meramente exemplificativo, comportando, inclusive, saque para quitação de imóvel não financiado pelo SFH. Vide temas 42, 49 e 55.",PEDILEF 2004.61.85.02 6071-7/ SP,25/04/2012,Juiz Federal Adel Américo Dias de Oliveira,25/04/2012,25/05/2012,12/06/2012,outputs\runs\run-20260613T190754327470Z\data\themes\tema-46.pdf
47,Julgado,DIREITO PROCESSUAL CIVIL,Saber se pode haver sucessão processual dos herdeiros em caso de pedido de concessão de benefício por incapacidade.,"Os herdeiros detêm legitimidade, por sucessão processual, para prosseguir no feito do autor falecido, nos casos de concessão de benefício por incapacidade.",PEDILEF 0014195-33.2007.4.03.6302/ SP,25/04/2012,Juíza Federal Simone Lemos Fernandes,25/04/2012,25/05/2012,12/06/2012,outputs\runs\run-20260613T190754327470Z\data\themes\tema-47.pdf
48,Julgado,DIREITO PROCESSUAL CIVIL,Saber se há responsabilidade civil da universidade pública em decorrência da guarda de veículos.,A responsabilidade civil da universidade pública pela guarda de veículos na área de estacionamento é subjetiva e depende da existência de aparato de vigilância para segurança do estacionamento.,PEDILEF 0015812-76.2007.4.01.3200/ AM,25/04/2012,Juiz Federal Rogério Moreira Alves,25/04/2012,25/05/2012,12/06/2012,outputs\runs\run-20260613T190754327470Z\data\themes\tema-48.pdf
