temaNumero,situacaoTema,ramoDireito,questaoSubmetidaJulgamento,teseFirmada,numeroProcesso,dataDecisaoAfetacao,relator,dataJulgamento,dataPublicacaoAcordao,transitoJulgado,pdfPath
24,Julgado,DIREITO PROCESSUAL CIVIL,Saber se o ajuizamento da ação nos Juizados Especiais Federais implica em automática renúncia para fins de fixação de competência.,Nos Juizados Especiais Federais inexiste renúncia tácita para fins de fixação de competência. Vide Súmula 17 da TNU.,PEDILEF 2007.33.00.707664-3/ BA,08/02/2011,Juiz Federal Alcides Saldanha Lima,11/10/2011,25/11/2011,19/06/2012,https://www.cjf.jus.br/phpdoc/virtus/
25,Julgado,DIREITO PREVIDENCIÁRIO,Saber qual a tábua de mortalidade elaborada pelo IBGE a ser utilizada no cálculo do fator previdenciário.,"Para o cálculo do fator previdenciário deve ser observada a tábua de mortalidade elaborada pelo IBGE vigente na data do requerimento do benefício previdenciário, e não aquela utilizada anteriormente, quando preenchidos os requisitos necessários à concessão da aposentadoria.",PEDILEF 2005.82.00.505195-9/ PB,11/10/2011,Juiz Federal Ronivon de Aragão,11/10/2011,25/11/2011,13/12/2011,https://www.cjf.jus.br/phpdoc/virtus/
26,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se é possível regularizar contribuições previdenciárias em atraso, após a morte de segurado contribuinte individual exercente de atividade informal.","Descabida a pretensão de regularização ""post mortem"" do recolhimento das contribuições previdenciárias devidas pelo segurado contribuinte individual exercente de atividade informal, salvo quando devam ser arrecadadas por empresa tomadora de serviços. Vide Súmula 52 da TNU.",PEDILEF 2005.63.02.013290-9/ SP,25/04/2011,Juíza Federal Simone dos Santos Lemos Fernandes,24/11/2011,09/12/2011,16/01/2012,https://www.cjf.jus.br/phpdoc/virtus/
27,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se é possível aplicar tabela progressiva prevista no art. 142 da Lei n. 8.213/91, aos casos de aposentadoria por idade urbana.","Aplica-se a tabela progressiva prevista no art. 142 da Lei n. 8.213/91, no caso de aposentadoria por idade urbana, considerando-se como marco temporal para apuração da carência o ano em que o segurado completa a idade mínima, ainda que contadas contribuições posteriores ao ano do cumprimento do requisito etário. Vide Súmula 44 da TNU.",PEDILEF 0022551-92.2008.4.01.3600/ MT,14/03/2011,Juiz Federal Rogério Moreira Alves,24/11/2011,09/12/2011,17/01/2012,outputs\runs\run-20260618T183724709450Z\data\themes\tema-27.pdf
28,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se é possível aplicar orientação firmada pelo STF, no RE 597389/ SP, aos casos onde já há coisa julgada.","Não se aplica orientação firmada no RE 597389/ SP, no cálculo dos benefícios concedidos antes da Lei n. 9.032/95, cujas sentenças transitaram em julgado quando do pronunciamento do STF. Vide Tema 90.",PEDILEF 2007.72.95.008821-4/ SC,09/07/2009,Juíza Federal Vanessa Vieira de Mello,24/11/2011,19/12/2011,05/06/2012,https://www.cjf.jus.br/phpdoc/virtus/
29,Julgado,DIREITO PREVIDENCIÁRIO,Saber se o atraso no recolhimento das contribuições previdenciárias a cargo do empregador prejudica a contagem do período de carência e a manutenção da qualidade de segurada empregada doméstica.,O recolhimento tardio de contribuições a cargo do empregador não implica prejuízo de ordem previdenciária à segurada empregada doméstica.,PEDILEF 2008.70.50.01.8498-8/ PR,24/11/2011,Juíza Federal Vanessa Vieira de Mello,24/11/2011,19/12/2011,24/01/2012,https://www.cjf.jus.br/phpdoc/virtus/
30,Revisado - Tema 123/TNU,DIREITO PREVIDENCIÁRIO,Saber os valores percebidos a título de antecipação dos efeitos da tutela devem ser devolvidos em caso de julgamento de mérito desfavorável.,"""Os valores recebidos de boa-fé por força de antecipação de tutela, em se tratando de decisão de primeiro grau reformada em segundo grau, devem ser devolvidos, nos termos do entendimento firmado pelo Superior Tribunal de Justiça (Tema/Repetitivo 692 e PET 10.996/SC)"". (Tese - Tema 692/STJ: A reforma da decisão que antecipa os efeitos da tutela final obriga o autor da ação a devolver os valores dos benefícios previdenciários ou assistenciais recebidos, o que pode ser feito por meio de desconto em valor que não exceda 30% (trinta por cento) da importância de eventual benefício que ainda lhe estiver sendo pago.)",Processo,Decisão de afetação,Relator (a),Julgado em,Acórdão publicado em,Trânsito em julgado,
31,Revisado - Tema 896/STJ,DIREITO PREVIDENCIÁRIO,"Saber qual o momento em que deve ser aferida a renda do segurado desempregado recolhido à prisão, para fins de percepção do benefício de auxílio-reclusão.",Vide Tema 896/STJ.,Repetitivo STJ/ Repercussão geral,"Tese firmada no Tema 896/STJ (Revisado): Para a concessão de auxílio-reclusão (art. 80 da Lei 8.213/1991) no regime anterior à vigência da MP 871/2019, o critério de aferição de renda do segurado que não exerce atividade laboral remunerada no momento do recolhimento à prisão é a ausência de renda, e não o último salário de contribuição. Observação: O STF, por meio do tema 1017, afirmou que a matéria é de cunho infraconstitucional, razão pela qual é aplicável a tese firmada no âmbito do repetitivo 896/STJ.",,,,,
32,Julgado,DIREITO PREVIDENCIÁRIO,Saber se certidão de óbito pode servir como início de prova material de benefício de pensão por morte de segurado especial.,"Certidão de óbito configura início de prova material para caracterização da atividade rural, para fins de pensão por morte.",PEDILEF 2007.83.04.501228-9/PE,31/10/2008,Juíza Federal Vanessa Vieira de Mello,24/11/2011,19/12/2011,24/01/2012,https://www.cjf.jus.br/phpdoc/virtus/
33,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se se presumem habitualidade e permanência da exposição ao agente nocivo ruído, em caso de segurado contribuinte individual sócio-gerente.","A habitualidade e permanência da exposição ao agente nocivo ruído, devidamente comprovadas por laudo pericial, presumem-se no caso de segurado contribuinte individual empresário.",PEDILEF 2009.71.95.001907-7/RS,01/09/2011,Juiz Federal Adel Américo Dias de Oliveira,29/02/2012,09/03/2012,15/08/2012,https://www.cjf.jus.br/phpdoc/virtus/
34,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se há necessidade de exame das condições pessoais do requerente, para concessão de benefício assistencial, quando houver incapacidade parcial e temporária.","Para a concessão do benefício previsto no art. 203, V, da Constituição Federal, nos casos de incapacidade parcial e temporária, deve-se examinar as condições pessoais do requerente.",PEDILEF 0013826-53.2008.4.01.3200/AM,14/12/2011,Juiz Federal Antonio Fernando Schenkel do Amaral e Silva,29/02/2012,09/03/2012,21/08/2012,https://www.cjf.jus.br/phpdoc/virtus/
35,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se em caso de contagem recíproca de tempo de contribuição, nos casos de regimes próprios de previdência dos servidores públicos, deve haver indenização de contribuições previdenciárias em caso de averbação de tempo rural.","A averbação de tempo de trabalho rural nos regimes próprios de previdência dos servidores públicos exige a indenização das respectivas contribuições previdenciárias, para efeitos de contagem recíproca de tempo de contribuição.",PEDILEF 2006.63.02.012610-0/SP,25/10/2011,Juiz Federal Rogério Moreira Alves,29/02/2012,20/04/2012,08/05/2012,https://www.cjf.jus.br/phpdoc/virtus/
36,Julgado (Súmula 77 da TNU),DIREITO PREVIDENCIÁRIO,"Saber se é necessário exame das condições pessoais do segurado considerado capaz para o trabalho, nos pedidos de concessão de auxílio-doença.",Na concessão do auxílio-doença é dispensável o exame das condições pessoais do segurado quando não constatada a incapacidade laboral. Vide Súmula 77 da TNU.,PEDILEF 0052862-57.2008.4.03.6301/SP,07/08/2013,Juiz Federal Rogério Moreira Alves,07/08/2013,16/08/2013,02/12/2013,https://www.cjf.jus.br/phpdoc/virtus/
37,Julgado (Súmula 46 da TNU),DIREITO PREVIDENCIÁRIO,Saber se o exercício de atividade urbana intercalada desnatura qualidade de segurado em caso de pedido de concessão de aposentadoria rural por idade.,Não afasta o direito à aposentadoria por idade rural o exercício de atividade urbana intercalada ou breves períodos descontínuos de atividade rural. Vide Súmula 46 da TNU.,PEDILEF 0500000-29.2005.4.05.8103/CE,17/06/2011,Juiz Federal Rogério Moreira Alves,29/02/2012,30/03/2012,17/04/2012,https://www.cjf.jus.br/phpdoc/virtus/
38,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se incapacidade laboral, anterior ao retorno do segurado ao RGPS, inviabiliza concessão de benefícios por incapacidade.","A incapacidade laboral preeexistente veda a concessão de auxílio-doença e aposentadoria por invalidez, mesmo nos casos de reingresso no RGPS. Vide Súmula 53 da TNU.",PEDILEF 2009.33.00.705098-0/ BA,29/03/2012,Juiz Federal Rogério Moreira Alves,29/03/2012,13/04/2012,01/10/2012,https://www.cjf.jus.br/phpdoc/virtus/
39,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se o trabalhador que preencheu requisito de carência do benefício de aposentadoria por idade, e que na data do óbito, não mais detinha qualidade de segurado e tampouco havia implementado idade mínima, pode ser instituidor de benefício de pensão por morte.","Para a concessão de pensão por morte de rurícola é necessário que o instituidor tenha, na data do óbito, a qualidade de segurado ou tenha implementado, antes de falecer, todos os requisitos para a concessão de aposentadoria por idade rural, tanto a carência quanto a idade mínima.",PEDILEF 0506910-51.2005.4.05.8013/ AL,29/03/2012,Juiz Federal Vladimir Santos Vitovsky,29/03/2012,20/04/2012,08/05/2012,https://www.cjf.jus.br/phpdoc/virtus/
40,Julgado,DIREITO PREVIDENCIÁRIO,"Saber se incapacidade laboral, anterior ao retorno do segurado ao RGPS, inviabiliza concessão de benefícios por incapacidade.","A incapacidade laboral preeexistente veda a concessão de auxílio-doença e aposentadoria por invalidez, mesmo nos casos de reingresso no RGPS. Vide Súmula 53 da TNU.",PEDILEF 0010516-35.2006.4.03.6310/ SP,29/02/2012,Juíza Federal Simone Lemos Fernandes,29/03/2012,20/04/2012,08/05/2012,https://www.cjf.jus.br/phpdoc/virtus/
